Boston Celtics,Brooklyn Nets,Atlanta Hawks,Washington Wizards,Charlotte Hornets,Orlando Magic,Miami Heat,Golden State Warriors,Los Angeles Clippers,Sacremento Kings,Phoenix Suns,Los Angeles Lakers,San Antonio Spurs,Memphis Grizzlies,Houston Rockets,Dallas Mavericks,New Orleans Pelicans,Utah Jazz,Portland Trail Blazers,Oklahoma City Thunder,Minnesota Timberwolves,Denver Nuggets,Philadelphia 76ers,Toronto Raptors,New York Knicks,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Milwaukee Bucks,Chicago Bulls
Dennis Scott,Orlando Magic,12.5,3.1,2.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derek Fisher,Los Angeles Lakers,3.9,1.2,1.5,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derek Harper,Dallas Mavericks,10,1.8,4.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derek Strong,Orlando Magic,8.5,6.3,0.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Alston,Atlanta Hawks,0,2,0,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Derrick McKey,Indiana Pacers,8,4.8,2.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Brett Szabo,Boston Celtics,2.2,2.4,0.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Howard,Washington Wizards,19.1,8,3.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Keith Askins,Miami Heat,4.9,3.5,1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Scott Burrell,Golden State Warriors,5.2,2.8,1.3,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Scott Williams,Philadelphia 76ers,5.8,6.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Scottie Pippen,Chicago Bulls,20.2,6.5,5.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sean Elliott,San Antonio Spurs,14.9,4.9,3.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sean Rooks,Los Angeles Lakers,3.8,2.4,0.6,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Sedale Threatt,Houston Rockets,3.3,1.1,1.9,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shandon Anderson,Utah Jazz,5.9,2.8,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shane Heal,Minnesota Timberwolves,1.7,0.4,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shaquille O'Neal,Los Angeles Lakers,26.2,12.5,3.1,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Scott Brooks,New York Knicks,1.5,0.5,0.8,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shareef Abdur-Rahim,Memphis Grizzlies,18.7,6.9,2.2,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
Shawn Bradley,Dallas Mavericks,13.2,8.4,0.7,1996-97,,,,,,,,,,,,,,,,,,,,,,,,
